StoreID,Address,City,State,Zipcode,Phone,Latitude,Longitude
32,16273 General Puller Highway,Deltaville ,VA,23043,8047760709,37.553845,-76.356321
33,12631 Galveston Court,Manassas ,VA,20112,7035805785,38.680032,-77.364809
35,2757 Jefferson Davis Highway,Stafford ,VA,22554,5407200932,38.455871,-77.406817
36,8038 and 8044 Crescent Park Drive,Gainesville ,VA,20155,7037531642,38.784524,-77.663457
37,15149 Montanus Drive,Culpeper ,VA,22701,5407277069,38.486729,-77.969635
38,2501 New Kent Highway,New Kent ,VA,23141,8049325462,37.519752,-77.185825
39,10410 BRISTOW CENTER DRIVE,BRISTOW ,VA,20136,7033300326,38.732632,-77.550564
40,22000 Dulles Retail Plaza,Sterling ,VA,20166,7034047394,39.005647,-77.437956
41,12950 Highland Crossing Drive,Herndon ,VA,20171,7034817021,38.94934,-77.394385
42,7469 and 7471 Richmond Highway,Alexandria ,VA,22306,7037182322,38.755063,-77.081679
43,236 Carmichael Way,Chesapeake ,VA,23322,7574217146,36.660444,-76.233482
44,18035 Jefferson Davis Highway,Ruther Glenn ,VA,22546,8044482010,38.018484,-77.514566
45,8428 Old Keene Mill Road,Springfield ,VA,22152,7035693945,38.779667,-77.236372
46,183 Community Street,Charlottesville ,VA,22911,4349782834,38.128003,-78.4434
47,380 Gateway Drive,Winchester ,VA,22603,5407223428,39.187833,-78.133407
48,6610-I Mooretown Road,Williamsburg ,VA,23188,7572534635,37.337311,-76.735319
49,881 North Quincy Street,Arlington ,VA,22203,7038750137,38.880873,-77.107523
50,325 Four Leaf Lane,Charlottesville ,VA,22903,4348231519,38.051842,-78.680976
51,265 Turkey Sag Trail,Lake Monticello ,VA,22963,4345894732,37.90388,-78.34146
52,786 Shopping Center Road,Strasburg ,VA,22657,5404653105,38.997112,-78.349161
53,11409 Windsor Blvd,Windsor ,VA,23487,7572426708,36.805156,-76.726673
54,42015 Village Center Plaza,Stone Ridge ,VA,20105,7033278681,38.939663,-77.549334
55,9934 Liberia Avenue,Manassas ,VA,20110,7035307130,38.742924,-77.452387
56,182 Delco Plaza,Winchester ,VA,22602,5407223460,39.158758,-78.153813
57,1028 Richmond Avenue,Staunton ,VA,24401,5403327770,38.136217,-79.045974
58,3002 Lee Highway,Bristol ,VA,24202,2764666153,36.632377,-82.130179
59,3136 Halifax Road,South Boston ,VA,24592,4345723953,36.731967,-78.918822
60,Unit 4330 Westgate Drive,Petersburg ,VA,23803,8048626411,37.212401,-77.458338
61,22360 S. Sterling Boulevard,Sterling ,VA,20164,7034047362,38.997212,-77.408413
62,1416 Carl D. Silver Parkway,Fredericksburg ,VA,22401,5405481043,38.302169,-77.508395
63,8951 Ox Road,Lorton ,VA,22079-3216,7036905890,38.715012,-77.262083
64,43 Town and Country Drive,Fredericksburg ,VA,22405,5408994224,38.309253,-77.427034
66,11083-E Marsh  Road,Bealeton ,VA,22712,5404397387,38.579298,-77.765463
67,290 Peppers Ferry Road,Christiansburg,VA,24073,5403817145,37.163929,-80.418524
68,2196 John Wayland Highway,Harrisonburg ,VA,22801,5404333024,38.431663,-78.910911
69,1620 Cedar Road,Chesapeake ,VA,23322,7575491015,36.727936,-76.299366
70,98 Stoneridge Drive North,Ruckersville ,VA,22968,4349901213,38.234756,-78.370483
72,5390-A Lyndon Drive,Locust Grove ,VA,22508,5409724824,38.326222,-77.730557
73,43150 Broadlands Center Plaza,Ashburn ,VA,20148,7037234163,39.027094,-77.509306
74,10857 & 10859 Tidewater Trail,Fredericksburg ,VA,22408,5408994462,38.255656,-77.426884
75,226 Elizabeth Drive,Stephens City ,VA,22655,5408687289,39.083269,-78.202205
76,7121 Leesburg Pike,Falls Church ,VA,22042,7039927218,38.894813,-77.192362
77,1800 South Creek One,Powhatan ,VA,23139,8043780480,37.515903,-77.789879
