ID,Company,Address,City,State,Zipcode,Country,Phone,Member_Type,Type,URL,Latitude,Longitude
900066232,(405) Brewing Co,1716 Topeka St,Norman,OK,73069,United States,(405) 816-0490,HQ,Micro,www.405brewing.com,35.2573645,-97.4681971
000182192,(512) Brewing Co,407 Radam Ln Ste F200,Austin,TX,78745-1197,United States,,HQ,Micro,www.512brewing.com,30.2234000,-97.7697360
000176198,10 Barrel Brewing Co,62970 18th St,Bend,OR,97701-9847,United States,(541) 585-1007,BREW,Large,www.10barrel.com,44.0863837,-121.2806916
900056240,10 Barrel Brewing Co,830 W Bannock St,Boise,ID,83702-5857,United States,(541) 678-5228,BREW,Large,www.10barrel.com,43.6177891,-116.2028679
900105790,10 Barrel Brewing Co,1411 NW Flanders St,Portland,OR,97209-2620,United States,(541) 585-1007,BREW,Large,www.10barrel.com,45.5259427,-122.6855532
900093753,101 Brewery,294793 US Hwy 101,Quilcene,WA,98376,United States,(360) 765-6485,NHQ,Brewpub,www.101brewery.com,47.8225013,-122.8754211
900047291,101 North Brewing Company,1304 Scott St Ste D,Petaluma,CA,94954-7100,United States,(707) 778-8384,HQ,Micro,www.101northbeer.com,38.2701094,-122.6653366
900125855,105 West Brewing Co,1043 Park St,Castle Rock,CO,80109-1585,United States,,HQ,Micro,,39.3807478,-104.8660237
900159850,10K Brewing,2005 2nd Ave,Anoka,MN,55303-2243,United States,,NHQ,Micro,www.10kbrew.com,45.1982352,-93.3896162
900153019,10th District Brewing Company,491 Washington St,Abington,MA,02351,United States,,HQ,Micro,www.10thdistrictbrewing.com,42.1063679,-70.9455853
900021059,11 Below Brewing Company,6820 Bourgeois Rd,Houston,TX,77066-3107,United States,(281) 444-2337,HQ,Micro,www.11belowbrewing.com,29.9526225,-95.5189336
900034739,1188 Brewing Co,141 E Main St,John Day,OR,97845-1210,United States,(541) 575-1188,HQ,Brewpub,www.1188brewing.com,44.4160991,-118.9517181
900117686,12 Gates Brewing Company,80 Earhart Dr,Buffalo,NY,14221-7804,United States,,HQ,Micro,www.12gatesbrewing.com,42.9543016,-78.7147461
000211905,12 String Brewing Co,11616 E Montgomery Dr Ste 26,Spokane,WA,99206-6608,United States,(509) 990-8622,HQ,Micro,www.twelvestringbrewingco.com,47.6771034,-117.2487522
900094036,127 Brewing,3090 Shirley Dr,Jackson,MI,49201-7010,United States,(517) 258-1346,NHQ,Micro,,42.2864420,-84.4319690
000211178,12Degree Brewing,820 Main St,Louisville,CO,80027-1865,United States,(720) 638-1623,HQ,Brewpub,www.twelvedegree.com,39.9782693,-105.1319200
900091839,13 Virtues Brewing Co,6410 SE Milwaukie Ave,Portland,OR,97202-5518,United States,(503) 239-3831,HQ,Brewpub,www.13virtuesbrewing.com,45.4762533,-122.6488352
900175053,14er Brewing Company,981 E 70th Ave Unit L,Denver,CO,80229,United States,(720) 773-1437,HQ,Contract,www.14erBrewing.com,39.8247637,-104.9726695
900035290,14th Star Brewing,"133 North Main Street, Suite 7",Saint Albans,VT,05478-1735,United States,(802) 528-5988,HQ,Micro,www.14thstarbrewing.com,44.8149190,-73.0822352
000195398,16 Mile Brewing Co,413 S Bedford St,Georgetown,DE,19947-1849,United States,(302) 253-8816,NHQ,Micro,www.16milebrewery.com,38.6788301,-75.3781690
900143139,1781 Brewing Company,11109 Plank Rd.,Spotsylvania,VA,22553-4258,United States,,HQ,Micro,,38.3244935,-77.7188554
