Name,Site_EPA_ID,Listing_Date,Site_Score,City,State,Latitude,Longitude
Beacon Heights Landfill,CTD072122062,19830908,46.77,Beacon Falls,CT,41.43195,-73.035281
"Laurel Park, Inc.",CTD980521165,19830908,,Naugatuck Borough,CT,41.476939,-73.071661
Solvents Recovery Service of New England,CTD009717604,19830908,44.93,Southington,CT,41.6196,-72.878
Yaworski Waste Lagoon,CTD009774969,19830908,36.72,Canterbury,CT,41.66945,-71.964161
Kellogg-Deering Well Field,CTD980670814,19840921,39.92,Norwalk,CT,41.13055,-73.43195
Old Southington Landfill,CTD980670806,19840921,54.35,Southington,CT,41.579169,-72.881939
Durham Meadows,CTD001452093,19891004,33.94,Durham,CT,41.48111,-72.681388
Baird & McGuire,MAD001041987,19830908,66.35,Holbrook,MA,42.149719,-71.028611
Charles-George Reclamation Trust Landfill,MAD003809266,19830908,47.20,Tyngsborough,MA,42.66945,-71.443339
Groveland Wells,MAD980732317,19830908,40.74,Groveland,MA,42.753331,-71.038889
Hocomonco Pond,MAD980732341,19830908,44.80,Westborough,MA,42.272781,-71.650831
Industri-Plex,MAD076580950,19830908,72.42,Woburn,MA,42.516669,-71.141669
New Bedford Site,MAD980731335,19830908,,New Bedford,MA,41.643171,-70.919887
Nyanza Chemical Waste Dump,MAD990685422,19830908,69.22,Ashland,MA,42.258611,-71.473611
PSC Resources,MAD980731483,19830908,38.66,Palmer,MA,42.153331,-72.330281
"Re-Solve, Inc.",MAD980520621,19830908,47.71,Dartmouth,MA,41.688061,-71.033889
Rose Disposal Pit,MAD980524169,19860610,33.03,Lanesboro,MA,42.5055,-73.2748
Silresim Chemical Corp.,MAD000192393,19830908,42.72,Lowell,MA,42.628889,-71.313889
"W.R. Grace & Co., Inc. (Acton Plant)",MAD001002252,19830908,59.31,Acton,MA,42.45055,-71.427781
Wells G&H,MAD980732168,19830908,42.71,Woburn,MA,42.494719,-71.130839
Haverhill Municipal Landfill,MAD980523336,19860610,30.29,Haverhill,MA,42.753889,-71.046669
Iron Horse Park,MAD051787323,19840921,42.93,Billerica,MA,42.583331,-71.265269
Shpack Landfill,MAD980503973,19860610,29.45,"Attleboro, Norton",MA,41.943331,-71.235
Sullivan's Ledge,MAD980731343,19840921,32.77,New Bedford,MA,41.654719,-70.957219
McKin Co.,MED980524078,19830908,60.97,Gray,ME,43.8841,-70.2942
Saco Municipal Landfill,MED980504393,19900221,29.49,Saco,ME,43.5302,-70.4815
Winthrop Landfill,MED980504435,19830908,35.62,Winthrop,ME,44.275831,-69.988331
Brunswick Naval Air Station,ME8170022018,19870722,43.38,Brunswick,ME,43.90634,-69.933986
Loring Air Force Base,ME9570024522,19900221,34.49,Limestone,ME,46.944444,-67.883888
Auburn Road Landfill,NHD980524086,19830908,36.30,Londonderry,NH,42.9302,-71.3529
Dover Municipal Landfill,NHD980520191,19830908,36.98,Dover,NH,43.2125,-70.953
Keefe Environmental Services,NHD092059112,19830908,65.19,Epping,NH,43.024169,-71.033331
Ottati & Goss/Kingston Steel Drum,NHD990717647,19830908,53.41,Kingston,NH,42.897219,-71.080561
Somersworth Sanitary Landfill,NHD980520225,19830908,65.56,Somersworth,NH,43.2489,-70.8845
Sylvester,NHD099363541,19830908,,Nashua,NH,42.7197,-71.523111
Tinkham Garage,NHD062004569,19830908,43.24,Londonderry,NH,42.860831,-71.351111
Kearsarge Metallurgical Corp.,NHD062002001,19840921,38.45,Conway,NH,43.9721,-71.1293
Savage Municipal Water Supply,NHD980671002,19840921,37.52,Milford,NH,42.8418,-71.6884
South Municipal Water Supply Well,NHD980671069,19840921,35.64,Peterborough,NH,42.8489,-71.9468
Coakley Landfill,NHD064424153,19860610,29.16,North Hampton,NH,43.001111,-70.817219
Tibbetts Road,NHD989090469,19860610,41.09,Barrington,NH,43.18,-71.0347
Mottolo Pig Farm,NHD980503361,19870722,40.70,Raymond,NH,42.989581,-71.173189
Davis Liquid Waste,RID980523070,19830908,47.25,Smithfield,RI,41.922219,-71.577769
