Name,URL,ID,Site_ID,Natl_ID,Reg_ID,TV_Market,TV_Market_ID,Address,City,State,Zipcode,Country,Phone,Latitude,Longitude
McDonalds,http://mylocalmcds.com/32410,195500506685-en-us,260202,32410,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,900 W J ST,HASTINGS,NE,68901,USA,4024635123,40.568451,-98.39329
McDonalds,http://mylocalmcds.com/10980,195500254340-en-us,150072,10980,44,WICHITA-HUTCHINSON  KS.,19120,1420 LINCOLN ST,CONCORDIA,KS,66901-4841,USA,7852431426,39.56313,-97.657858
McDonalds,http://mylocalmcds.com/4381,195500277271-en-us,260025,4381,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1510 N BURLINGTON,HASTINGS,NE,68901-3026,USA,4024629884,40.602001,-98.391404
McDonalds,http://mylocalmcds.com/11940,195500277776-en-us,260096,11940,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,410 WEST 4TH AVENUE,HOLDREGE,NE,68949,USA,3089955066,40.438117,-99.385434
McDonalds,http://mylocalmcds.com/7897,195500277622-en-us,260070,7897,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,715 2ND AVE,KEARNEY,NE,68847-7811,USA,3082379383,40.681692,-99.083742
McDonalds,http://mylocalmcds.com/2576,195500277158-en-us,260012,2576,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,621 E 25TH ST,KEARNEY,NE,68847-5517,USA,3082373668,40.699867,-99.072479
McDonalds,http://mylocalmcds.com/31382,195500351223-en-us,260195,31382,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,5605 1ST AVE,KEARNEY,NE,68847,USA,3082362111,40.728865,-99.081354
McDonalds,http://mylocalmcds.com/6877,195500254456-en-us,150090,6877,44,WICHITA-HUTCHINSON  KS.,19120,1435 S. FOSSIL,RUSSELL,KS,67665-3612,USA,7854836554,38.865429,-98.85357
McDonalds,http://mylocalmcds.com/4938,195500254234-en-us,150056,4938,44,WICHITA-HUTCHINSON  KS.,19120,3406 VINE ST.,HAYS,KS,67601-1939,USA,7856286115,38.895544,-99.316691
McDonalds,http://mylocalmcds.com/1829,195500277141-en-us,260010,1829,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1317 W 2ND ST,GRAND ISLAND,NE,68801-5711,USA,3083823323,40.919268,-98.352709
McDonalds,http://mylocalmcds.com/3594,195500277196-en-us,260016,3594,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,3323 WEST STATE STREET,GRAND ISLAND,NE,68803,USA,3083810434,40.938313,-98.380106
McDonalds,http://mylocalmcds.com/12648,195500255163-en-us,150198,12648,44,WICHITA-HUTCHINSON  KS.,19120,1201 VINE,HAYS,KS,67601-3452,USA,7856251712,38.870004,-99.31828
McDonalds,http://mylocalmcds.com/6379,195500277486-en-us,260051,6379,42,OMAHA  NB.,16520,1429 K ST,FAIRBURY,NE,68352-1309,USA,4027293123,40.147578,-97.17164
McDonalds,http://mylocalmcds.com/12787,195500277837-en-us,260107,12787,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1601 Q STREET,AURORA,NE,68818,USA,4026944040,40.872925,-97.997316
McDonalds,http://mylocalmcds.com/16139,195500255354-en-us,150226,16139,44,WICHITA-HUTCHINSON  KS.,19120,125 E DIAMOND DRIVE,SALINA,KS,67401,USA,7854529195,38.878362,-97.610954
McDonalds,http://mylocalmcds.com/5815,195500277387-en-us,260040,5815,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,4012 SOUTH LINCOLN AVE.,YORK,NE,68467,USA,4023622363,40.824265,-97.598531
McDonalds,http://mylocalmcds.com/24313,195500331959-en-us,150308,24313,44,WICHITA-HUTCHINSON  KS.,19120,701 SOUTH BROADWAY,SALINA,KS,67401,USA,7858255301,38.82677,-97.624476
McDonalds,http://mylocalmcds.com/26546,195500342009-en-us,150316,26546,44,WICHITA-HUTCHINSON  KS.,19120,1100 E CRAWFORD,SALINA,KS,67401,USA,7858252511,38.826728,-97.593588
McDonalds,http://mylocalmcds.com/6738,195500277370-en-us,260039,6738,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,2706 PLUM CREEK PKWY,LEXINGTON,NE,68850-5614,USA,3083242922,40.747458,-99.739455
McDonalds,http://mylocalmcds.com/8051,195500254753-en-us,150121,8051,44,WICHITA-HUTCHINSON  KS.,19120,2236 PLANET,SALINA,KS,67401-7350,USA,7858256775,38.802061,-97.613405
McDonalds,http://mylocalmcds.com/35803,195500756905-en-us,150365,35803,44,WICHITA-HUTCHINSON  KS.,19120,745 S FIRST STREET,WAKEENEY,KS,67672,USA,7857432911,39.012802,-99.890755
McDonalds,http://mylocalmcds.com/4696,195500254180-en-us,150050,4696,44,WICHITA-HUTCHINSON  KS.,19120,2103 N BUCKEYE,ABILENE,KS,67410-1507,USA,7852631722,38.937691,-97.213334
McDonalds,http://mylocalmcds.com/3646,195500277219-en-us,260017,3646,42,OMAHA  NB.,16520,1220 N 6TH ST,BEATRICE,NE,68310-2019,USA,4022284106,40.278723,-96.746273
McDonalds,http://mylocalmcds.com/2939,195500254005-en-us,150025,2939,44,WICHITA-HUTCHINSON  KS.,19120,3307 10TH ST,GREAT BEND,KS,67530-3534,USA,6207921406,38.361349,-98.784129
McDonalds,http://mylocalmcds.com/10599,195500277653-en-us,260075,10599,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1397 PROGRESSIVE RD,SEWARD,NE,68434,USA,4026433789,40.886577,-97.102277
McDonalds,http://mylocalmcds.com/3601,195500254043-en-us,150032,3601,44,TOPEKA  KS.,18560,416 W 6TH ST,JUNCTION CITY,KS,66441-3051,USA,7852384000,39.028518,-96.836013
McDonalds,http://mylocalmcds.com/12263,195500254722-en-us,150119,12263,44,TOPEKA  KS.,18560,1127 S WASHINGTON,JUNCTION CITY,KS,66441,USA,7852385391,39.009117,-96.834461
McDonalds,http://mylocalmcds.com/7769,195500277424-en-us,260045,7769,44,LINCOLN-HASTINGS-KEARNEY  NB.,14960,501 N HWY 83,MCCOOK,NE,69001,USA,3083457474,40.202071,-100.64424
McDonalds,http://mylocalmcds.com/14252,195500277875-en-us,260115,14252,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,320 S LAKE AVE,GOTHENBURG,NE,69138,USA,3085372111,40.922882,-100.166329
McDonalds,http://mylocalmcds.com/3815,195500254111-en-us,150042,3815,44,WICHITA-HUTCHINSON  KS.,19120,2101 EAST KANSAS AVENUE,MCPHERSON,KS,67460,USA,6202410522,38.371385,-97.629284
McDonalds,http://mylocalmcds.com/10134,195500254470-en-us,150091,10134,44,TOPEKA  KS.,18560,1011 WESTLOOP PL,MANHATTAN,KS,66502-2835,USA,7855391672,39.190305,-96.610494
McDonalds,http://mylocalmcds.com/2753,195500253992-en-us,150024,2753,44,TOPEKA  KS.,18560,800 N 4TH STREET,MANHATTAN,KS,66502-5703,USA,7857891008,39.187214,-96.56115
McDonalds,http://mylocalmcds.com/21021,195500278018-en-us,260152,21021,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,2700 PINE LAKE RD,LINCOLN,NE,68516,USA,4023288727,40.740079,-96.681907
McDonalds,http://mylocalmcds.com/3899,195500277257-en-us,260020,3899,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,3330 S 10TH ST,LINCOLN,NE,68502-4403,USA,4024231355,40.778437,-96.705805
McDonalds,http://mylocalmcds.com/20838,195500278001-en-us,260151,20838,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,345 WEST O STREET,LINCOLN,NE,68522,USA,4024386630,40.813037,-96.724263
McDonalds,http://mylocalmcds.com/4856,195500277295-en-us,260027,4856,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1141 W BOND,LINCOLN,NE,68521-3632,USA,4024755238,40.844109,-96.73854
McDonalds,http://mylocalmcds.com/33731,195500575322-en-us,260211,33731,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,"2140 K STREET, SUITE 102",LINCOLN,NE,68510,USA,4024775001,40.809683,-96.689849
McDonalds,http://mylocalmcds.com/11651,195500277639-en-us,260074,11651,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,5800 OLD CHENEY RD,LINCOLN,NE,68516-3583,USA,4024218303,40.754306,-96.641951
McDonalds,http://mylocalmcds.com/7499,195500277592-en-us,260068,7499,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,1028 SAUNDERS,LINCOLN,NE,68521-2326,USA,4024762538,40.836838,-96.706602
McDonalds,http://mylocalmcds.com/6520,195500277462-en-us,260050,6520,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,2600 S 48TH ST STE 20,LINCOLN,NE,68506-2502,USA,4024887083,40.785175,-96.65301
McDonalds,http://mylocalmcds.com/23078,195500328263-en-us,260163,23078,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,875 N 27TH ST,LINCOLN,NE,68502,USA,4024745017,40.822176,-96.682831
McDonalds,http://mylocalmcds.com/12152,195500277783-en-us,260097,12152,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,123 E SOUTH E ST,BROKEN BOW,NE,68822,USA,3088722832,41.40208,-99.629685
McDonalds,http://mylocalmcds.com/29324,195500345512-en-us,260189,29324,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,8700 ANDERMAT AVE (WM#3278),LINCOLN,NE,68521,USA,4024882480,40.736626,-96.599464
McDonalds,http://mylocalmcds.com/10711,195500277677-en-us,260079,10711,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,547 N 48TH ST,LINCOLN,NE,68504-3404,USA,4024642290,40.818701,-96.654187
McDonalds,http://mylocalmcds.com/13751,195500277745-en-us,260089,13751,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,2641 TICONDEROGA,LINCOLN,NE,68521,USA,4024355444,40.858632,-96.682659
McDonalds,http://mylocalmcds.com/27784,195500334271-en-us,260188,27784,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,4700 N 27TH ST,LINCOLN,NE,68521,USA,4024772131,40.858314,-96.678368
McDonalds,http://mylocalmcds.com/6062,195500277455-en-us,260048,6062,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,6500 O ST,LINCOLN,NE,68510-2330,USA,4024665766,40.813917,-96.631755
McDonalds,http://mylocalmcds.com/6739,195500277530-en-us,260058,6739,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,5327 CORNHUSKER HWY,LINCOLN,NE,68504-1428,USA,4024640973,40.855294,-96.646757
McDonalds,http://mylocalmcds.com/3667,195500254067-en-us,150036,3667,44,WICHITA-HUTCHINSON  KS.,19120,603 E 30TH ST,HUTCHINSON,KS,67502-8432,USA,6206626462,38.086161,-97.918314
McDonalds,http://mylocalmcds.com/10030,195500254692-en-us,150116,10030,44,WICHITA-HUTCHINSON  KS.,19120,1407 E 11TH AVE,HUTCHINSON,KS,67501-2750,USA,6206624014,38.06459,-97.901079
McDonalds,http://mylocalmcds.com/410,195500253879-en-us,150005,410,44,WICHITA-HUTCHINSON  KS.,19120,20 E 4TH ST,HUTCHINSON,KS,67501-6933,USA,6206655642,38.057581,-97.930707
McDonalds,http://mylocalmcds.com/3816,195500277240-en-us,260019,3816,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,3210 23RD ST,COLUMBUS,NE,68601-3126,USA,4025646600,41.439103,-97.367031
McDonalds,http://mylocalmcds.com/12080,195500255064-en-us,150184,12080,44,TOPEKA  KS.,18560,701 E 24 HWY,WAMEGO,KS,66545,USA,7854562500,39.209663,-96.304507
McDonalds,http://mylocalmcds.com/19012,195500255507-en-us,150270,19012,44,WICHITA-HUTCHINSON  KS.,19120,1006 S MAIN ST,SOUTH HUTCHINSON,KS,67505,USA,6206645848,38.014951,-97.939241
McDonalds,http://mylocalmcds.com/31691,195500512006-en-us,260200,31691,42,LINCOLN-HASTINGS-KEARNEY  NB.,14960,13821 GUILDFORD,WAVERLY,NE,68462,USA,4027862200,40.912935,-96.53295
McDonalds,http://mylocalmcds.com/1360,195500255408-en-us,150244,1360,44,TOPEKA  KS.,18560,101 N ST,SENECA,KS,66538,USA,7853363190,39.841842,-96.05714
McDonalds,http://mylocalmcds.com/6213,195500254371-en-us,150081,6213,46,WICHITA-HUTCHINSON  KS.,19120,2000 SOUTH RANGE,COLBY,KS,67701,USA,7854628159,39.366543,-101.056343
McDonalds,http://mylocalmcds.com/7011,195500254449-en-us,150089,7011,44,WICHITA-HUTCHINSON  KS.,19120,1321 MAIN,NEWTON,KS,67114-1915,USA,3162842891,38.057985,-97.345597
McDonalds,http://mylocalmcds.com/33173,195500546681-en-us,260206,33173,42,NORTH PLATTE  NB.,16360,3211 NEWBERRY RD,NORTH PLATTE,NE,69101,USA,3085341733,41.102867,-100.724007
McDonalds,http://mylocalmcds.com/4890,195500277325-en-us,260029,4890,42,NORTH PLATTE  NB.,16360,1313 S DEWEY,NORTH PLATTE,NE,69101-7615,USA,3085342249,41.122012,-100.762507
McDonalds,http://mylocalmcds.com/16740,195500277929-en-us,260128,16740,42,OMAHA  NB.,16520,14363 SOUTH HIGHWAY 31,GRETNA,NE,68028,USA,4023325150,41.097247,-96.251791
McDonalds,http://mylocalmcds.com/6307,195500254357-en-us,150075,6307,44,WICHITA-HUTCHINSON  KS.,19120,1805 E 1ST ST,PRATT,KS,67124-2075,USA,6206721915,37.645099,-98.715624
McDonalds,http://mylocalmcds.com/16654,195500255385-en-us,150230,16654,44,WICHITA-HUTCHINSON  KS.,19120,1123 HWY 54,KINGMAN,KS,67068,USA,6205321255,37.648218,-98.095816
McDonalds,http://mylocalmcds.com/5653,195500277417-en-us,260044,5653,42,OMAHA  NB.,16520,1512 S 11TH,NEBRASKA CITY,NE,68410,USA,4028736466,40.663444,-95.859662
McDonalds,http://mylocalmcds.com/32704,195500508559-en-us,150353,32704,44,WICHITA-HUTCHINSON  KS.,19120,2616 W 53RD ST,WICHITA,KS,67204,USA,3168329646,37.782061,-97.373451
McDonalds,http://mylocalmcds.com/10264,195500254760-en-us,150124,10264,44,WICHITA-HUTCHINSON  KS.,19120,5900 AIR CAP DRIVE,PARK CITY,KS,67219-2105,USA,3167443519,37.79227,-97.329119
McDonalds,http://mylocalmcds.com/2843,195500277189-en-us,260014,2843,42,OMAHA  NB.,16520,435 E 23RD ST,FREMONT,NE,68025,USA,4027213818,41.45123,-96.491662
McDonalds,http://mylocalmcds.com/34582,195500624563-en-us,260213,34582,42,OMAHA  NB.,16520,17805 WELCH PLAZA,OMAHA,NE,68135,USA,4029322882,41.205507,-96.193063
McDonalds,http://mylocalmcds.com/20840,195500255538-en-us,150287,20840,44,WICHITA-HUTCHINSON  KS.,19120,10321 W 21ST,WICHITA,KS,67212,USA,3167297300,37.722052,-97.462083
McDonalds,http://mylocalmcds.com/11863,195500277707-en-us,260084,11863,42,OMAHA  NB.,16520,9505 S 144TH ST,OMAHA,NE,68137,USA,4028965225,41.165124,-96.137954
McDonalds,http://mylocalmcds.com/21012,195500278049-en-us,260158,21012,42,OMAHA  NB.,16520,18320 WRIGHT ST,OMAHA,NE,68130,USA,4023330788,41.233467,-96.201523
McDonalds,http://mylocalmcds.com/12782,195500254791-en-us,150128,12782,44,WICHITA-HUTCHINSON  KS.,19120,7311 W 21ST ST,WICHITA,KS,67206,USA,3167212088,37.722629,-97.428233
