ID,Name,Address,City,State,Zipcode,Type,Phone,Overall_Rtg,Health_Rtg,staffing_Rtg,Care_Rtg,Latitude,Longitude
015386,ADAMS NURSING HOME,1555 HILLABEE STREET,ALEXANDER CITY,AL,35010,Medicare and Medicaid,2563290847,40,40,30,20,32.9449844,-85.9341354
015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,Medicare and Medicaid,2568781398,40,30,50,40,34.260025,-86.21446
015137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,Medicare and Medicaid,2053736307,50,50,40,40,33.12957,-88.15141
015098,ALLEN MEMORIAL HOME,735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603,Medicare and Medicaid,2514332642,50,40,50,20,30.6732883,-88.0512848
015101,ALTOONA  HEALTH & REHAB,6532 WALNUT GROVE ROAD,ALTOONA,AL,35952,Medicare and Medicaid,2055896394,50,40,40,50,34.03458,-86.3194046
015416,ANDALUSIA MANOR,670 MOORE RD,ANDALUSIA,AL,36420,Medicare and Medicaid,3342224544,50,30,40,50,31.289753,-86.4978256
015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",1910 PEPPERELL PKWY,OPELIKA,AL,36801,Medicare and Medicaid,3347491471,20,10,40,40,32.63845,-85.40007
015141,ARBOR WOODS HEALTH AND REHAB,515 2ND AVENUE NORTHWEST,REFORM,AL,35481,Medicare and Medicaid,2053756379,50,40,50,30,33.3784523,-88.0153046
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,Medicare and Medicaid,2057886330,30,20,40,30,33.49598,-86.84977
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,Medicare and Medicaid,2514715431,40,30,40,40,30.6899357,-88.08691
015464,"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",575 SOUTHLAND DRIVE,HOOVER,AL,35226,Medicare,2057216200,50,40,50,40,33.4106331,-86.8095
015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,Medicare and Medicaid,2562321620,30,20,40,40,34.8034058,-86.9756
015129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,Medicare and Medicaid,2513689121,50,40,30,50,31.0161362,-87.48112
015203,ATTALLA HEALTH AND REHAB,915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954,Medicare and Medicaid,2565387852,20,10,40,40,33.9849625,-86.10783
015151,AZALEA GARDENS OF MOBILE,1758 SPRINGHILL AVE,MOBILE,AL,36607,Medicare and Medicaid,2514790551,30,20,40,30,30.700407,-88.11275
015225,BARFIELD HEALTH CARE INC,22444 HIGHWAY 431,GUNTERSVILLE,AL,35976,Medicare and Medicaid,2565823112,40,50,40,10,34.3934937,-86.27474
015375,"BECKWOOD MANOR, INC",P.O. BOX 1825,ANNISTON,AL,36207,Medicare and Medicaid,2562364949,30,20,30,50,33.6598244,-85.8316345
015215,BIBB MED CENTER NURSING HOME,208 PIERSON AVE,CENTREVILLE,AL,35042,Medicare and Medicaid,2059263308,10,10,10,30,32.95143,-87.1458054
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,Medicare and Medicaid,2058541361,10,20,10,30,33.63465,-86.66395
015217,BIRMINGHAM NURSING AND REHABILITATION CTR,1000 DUGAN AVENUE,BIRMINGHAM,AL,35214,Medicare and Medicaid,2057988780,40,30,30,50,33.54682,-86.8824844
