ID,Name,Address,City,State,Zipcode,Phone,Latitude,Longitude,Type,URL
23413,Steak n Shake,2009 Kenyon Road,Urbana,IL,61802,2173443855,40.134,-88.1995,traditional,https://orderonline.steaknshake.com/o/restaurant/18077
23415,Steak n Shake,2100 N. Richmond Rd.,Mchenry,IL,60050,8157599885,42.3556,-88.2665,traditional,https://orderonline.steaknshake.com/o/restaurant/18195
23417,Steak n Shake,6549 Miller Lane,Dayton,OH,45414,9374545913,39.8423,-84.1921,traditional,https://orderonline.steaknshake.com/o/restaurant/18295
23419,Steak n Shake,1211 N. Keller,Effingham,IL,62401,2172100386,39.1374,-88.5649,traditional,https://orderonline.steaknshake.com/o/restaurant/18061
23421,Steak n Shake,3906 South Florida Ave.,Lakeland,FL,33813,8636481440,27.9931,-81.9559,traditional,https://orderonline.steaknshake.com/o/restaurant/18192
23423,Steak n Shake,2101 Liberty Drive,Bloomington,IN,47403,8123397222,39.1464,-86.5774,traditional,https://orderonline.steaknshake.com/o/restaurant/18108
23425,Steak n Shake,2675 N. Plainfield Road,Joliet,IL,60435,8154399145,41.5762,-88.1561,traditional,https://orderonline.steaknshake.com/o/restaurant/18076
23427,Steak n Shake,8115 Red Bug Lake Road,Oviedo,FL,32765,4073665851,28.6559,-81.2387,traditional,https://orderonline.steaknshake.com/o/restaurant/18142
23429,Steak n Shake,10911 New Halls Ferry Road,St. Louis,MO,63136,3142661234,38.7687,-90.2649,traditional,https://orderonline.steaknshake.com/o/restaurant/18049
23431,Steak n Shake,1305 Locke Road,Bourbonnais,IL,60914,8159325600,41.163,-87.8495,traditional,https://orderonline.steaknshake.com/o/restaurant/18062
23433,Steak n Shake,2998 Hwy. K O&#39;fallon Crossing,O&#39;fallon,MO,63366,6362402049,38.7555,-90.6993,traditional,https://orderonline.steaknshake.com/o/restaurant/18127
23435,Steak n Shake,99 Conference Center Drive,East Peoria,IL,61611,3096994331,40.6838,-89.5891,traditional,https://orderonline.steaknshake.com/o/restaurant/17993
23437,Steak n Shake,3229 N. University,Peoria,IL,61604,3096828723,40.7265,-89.6123,traditional,https://orderonline.steaknshake.com/o/restaurant/17997
23439,Steak n Shake,819 E. Memorial Blvd.,Lakeland,FL,33801,8636839352,28.0548,-81.9485,traditional,https://orderonline.steaknshake.com/o/restaurant/18034
23441,Steak n Shake,247 W. Smith Valley Road,Greenwood,IN,46142,3178856474,39.606,-86.1096,traditional,https://orderonline.steaknshake.com/o/restaurant/18097
23443,Steak n Shake,990 S Federal Highway,Hallandale,FL,33009,9544570542,25.9754,-80.1425,traditional,https://orderonline.steaknshake.com/o/restaurant/18319
23445,Steak n Shake,275 E. Army Trail,Glendale Heights,IL,60139,6306710551,41.9362,-88.0774,traditional,https://orderonline.steaknshake.com/o/restaurant/18178
23447,Steak n Shake,7101 W. Colonial Blvd,Orlando,FL,32818,4072976650,28.5526,-81.4782,traditional,https://orderonline.steaknshake.com/o/restaurant/18145
23449,Steak n Shake,1080 El Jobean Rd,Port Charlotte,FL,33948,9412556990,27.0111,-82.1486,traditional,https://orderonline.steaknshake.com/o/restaurant/18158
